date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:36	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2011%20Mar%202018%2009:28:34%20GMT	http://addison.bold-themes.com/robots.txt		(from )
16:28:37	167800/167800	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2009:28:35%20GMT	http://addison.bold-themes.com/main-demo/	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/index.html	(from )
16:28:40	163402/163402	---M--	200	added ('OK')	text/css	etag:%2227e4a-564929e77c55a%22	http://addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush.css?ver=4.9.4	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crushcbf4.css	(from http://addison.bold-themes.com/main-demo/)
16:28:41	1729/1729	---M--	200	added ('OK')	text/css	etag:%226c1-564929e779e4a%22	http://addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slick.css?ver=4.9.4	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slickcbf4.css	(from http://addison.bold-themes.com/main-demo/)
16:28:41	0/0	---M--	200	added ('OK')	text/css	etag:%220-564929e77cd2a%22	http://addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/dummy.css?ver=4.9.4	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/dummycbf4.css	(from http://addison.bold-themes.com/main-demo/)
16:28:41	0/0	---M--	200	added ('OK')	text/css	etag:%220-51f5358cb0500%22	http://addison.bold-themes.com/main-demo/wp-content/plugins/bt_dev/style.css?ver=4.9.4	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/plugins/bt_dev/stylecbf4.css	(from http://addison.bold-themes.com/main-demo/)
16:28:41	9450/9450	---MC-	200	added ('OK')	application/rss+xml	etag:%225cf0e76ae53b477d23561fee0467e8f2%22	http://addison.bold-themes.com/main-demo/comments/feed/	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/comments/feed/index.html	(from http://addison.bold-themes.com/main-demo/)
16:28:42	26068/26068	---MC-	200	added ('OK')	application/rss+xml	etag:%229405b86fd9ddc032b2e658edc0d338da%22	http://addison.bold-themes.com/main-demo/feed/	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/feed/index.html	(from http://addison.bold-themes.com/main-demo/)
16:28:42	1683/1683	---M--	200	added ('OK')	text/css	etag:%22693-564929e857934%22	http://addison.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/styles5597.css	(from http://addison.bold-themes.com/main-demo/)
16:28:47	476532/476532	---M--	200	added ('OK')	text/css	etag:%2274574-562438e55948e%22	http://addison.bold-themes.com/main-demo/wp-content/themes/addison/style.css?ver=4.9.4	F:/xampp/htdocs/samuraiwifi/html/template4/SamuraiWifi4/addison.bold-themes.com/main-demo/wp-content/themes/addison/stylecbf4.css	(from http://addison.bold-themes.com/main-demo/)
